distortion_level,blur_rate,misclass_rate,board_index,moves_made,illegal_moves,minimax_ai_wins,deterministic_ai_wins,game_length,avg_move_time
0.05_0.15,0.05,0.15,27,11,0,0,1,11,0.11193437576293945
0.05_0.15,0.05,0.15,28,1,0,0,1,1,0
0.05_0.15,0.05,0.15,29,1,0,0,1,1,0
0.20_0.10,0.2,0.1,0,41,0,0,1,41,0.1246326208114624
0.20_0.10,0.2,0.1,1,16,0,1,0,16,0.18409231305122375
0.20_0.10,0.2,0.1,2,14,1,0,1,14,0.1772768156869071
0.20_0.10,0.2,0.1,3,34,0,1,0,34,0.08340807522044462
0.20_0.10,0.2,0.1,4,3,0,0,1,3,0.25440263748168945
0.20_0.10,0.2,0.1,5,23,0,0,1,23,0.18314636837352405
0.20_0.10,0.2,0.1,6,1,0,0,1,1,0
0.20_0.10,0.2,0.1,7,1,0,0,1,1,0
0.20_0.10,0.2,0.1,8,1,0,0,1,1,0
0.20_0.10,0.2,0.1,9,5,0,0,1,5,0.24541723728179932
0.20_0.10,0.2,0.1,10,1,0,0,1,1,0
0.20_0.10,0.2,0.1,11,10,1,0,1,10,0.1512132167816162
0.20_0.10,0.2,0.1,12,27,1,1,0,27,0.08999051366533552
0.20_0.10,0.2,0.1,13,1,0,0,1,1,0
0.20_0.10,0.2,0.1,14,1,0,0,1,1,0
0.20_0.10,0.2,0.1,15,5,0,0,1,5,0.20387542247772217
0.20_0.10,0.2,0.1,16,1,0,0,1,1,0
0.20_0.10,0.2,0.1,17,21,0,0,1,21,0.16610548496246338
0.20_0.10,0.2,0.1,18,1,0,0,1,1,0
0.20_0.10,0.2,0.1,19,5,0,0,1,5,0.17207980155944824
0.20_0.10,0.2,0.1,20,1,0,0,1,1,0
0.20_0.10,0.2,0.1,21,1,0,0,1,1,0
0.20_0.10,0.2,0.1,22,1,0,0,1,1,0
0.20_0.10,0.2,0.1,23,5,0,0,1,5,0.14782321453094482
0.20_0.10,0.2,0.1,24,14,0,1,0,14,0.07214580263410296
0.20_0.10,0.2,0.1,25,1,0,0,1,1,0
0.20_0.10,0.2,0.1,26,1,0,0,1,1,0
0.20_0.10,0.2,0.1,27,17,0,0,1,17,0.19870811700820923
0.20_0.10,0.2,0.1,28,1,0,0,1,1,0
0.20_0.10,0.2,0.1,29,1,0,0,1,1,0
