trial_number,accuracy_percent,distortion_level,blur_rate,misclass_rate,board_index,starting_player,moves_made,illegal_moves,minimax_ai_wins,deterministic_ai_wins,game_length,avg_move_time,optimal_moves,total_minimax_moves,move_optimality_percent
5,50.0,50%_accuracy,0.25,0.25,9,Minimax,13,0,1,0,13,3.850374460220337,1,7,14.285714285714285
5,50.0,50%_accuracy,0.25,0.25,10,Deterministic,7,0,0,1,7,0.8003803888956705,0,3,0.0
5,50.0,50%_accuracy,0.25,0.25,11,Minimax,2,0,0,1,2,22.296842098236084,0,1,0.0
5,50.0,50%_accuracy,0.25,0.25,12,Deterministic,4,1,0,1,4,8.522525906562805,0,2,0.0
5,50.0,50%_accuracy,0.25,0.25,13,Minimax,3,0,1,0,3,2.550171732902527,0,2,0.0
5,50.0,50%_accuracy,0.25,0.25,14,Deterministic,4,0,1,0,4,6.872318267822266,0,2,0.0
5,50.0,50%_accuracy,0.25,0.25,15,Minimax,7,0,1,0,7,6.055399119853973,2,4,50.0
5,50.0,50%_accuracy,0.25,0.25,16,Deterministic,12,3,0,1,12,5.7123468944004605,2,7,28.57142857142857
5,50.0,50%_accuracy,0.25,0.25,17,Minimax,2,0,0,1,2,32.97922396659851,0,1,0.0
5,50.0,50%_accuracy,0.25,0.25,18,Deterministic,19,0,0,1,19,22.69803974363539,1,9,11.11111111111111
5,50.0,50%_accuracy,0.25,0.25,19,Minimax,1,1,0,1,1,0.0,0,1,0.0
5,50.0,50%_accuracy,0.25,0.25,20,Deterministic,1,0,0,1,1,0,0,0,0
5,50.0,50%_accuracy,0.25,0.25,21,Minimax,2,0,0,1,2,2.2131500244140625,0,1,0.0
5,50.0,50%_accuracy,0.25,0.25,22,Deterministic,6,1,0,1,6,2.0263673464457193,0,3,0.0
5,50.0,50%_accuracy,0.25,0.25,23,Minimax,7,0,1,0,7,18.50166267156601,1,4,25.0
5,50.0,50%_accuracy,0.25,0.25,24,Deterministic,8,0,1,0,8,3.6230388879776,2,4,50.0
5,50.0,50%_accuracy,0.25,0.25,25,Minimax,7,0,1,0,7,3.2049267888069153,1,4,25.0
5,50.0,50%_accuracy,0.25,0.25,26,Deterministic,22,5,0,1,22,4.910894467280461,4,13,30.76923076923077
5,50.0,50%_accuracy,0.25,0.25,27,Minimax,5,0,1,0,5,0.7572533289591471,1,3,33.33333333333333
5,50.0,50%_accuracy,0.25,0.25,28,Deterministic,3,0,0,1,3,25.12007737159729,0,1,0.0
5,50.0,50%_accuracy,0.25,0.25,29,Minimax,4,0,0,1,4,14.457456111907959,0,2,0.0
